"","PC1","PC2","PC3","PC4","PC5"
"RS_01",-2.34877741834769,0.607832191466483,1.67917910206225,-0.769467433172886,-0.0187877759885795
"RS_02",0.251797146927257,0.791418681034757,-0.203272597625918,0.0826937143684553,0.0334942269861847
"RS_03",-0.159833035942409,0.665575468717982,-0.365295819197481,0.106397135773104,-0.00660509018874059
"RS_04",-2.86177168766611,0.795216385616235,0.0400665165930508,0.00340410731190821,-0.135769693416864
"RS_05",1.24748268574099,-0.969455571495578,0.764634028728711,0.164243415536349,0.00164033513723172
"RS_06",1.79201597600945,0.923502419265803,-0.148252320391062,-0.281417117529513,-0.0702091634638241
"RS_07",-2.16425026732188,0.685020962706715,-0.159281093702617,0.00980961482424114,-0.064218603195209
"RS_08",0.663388076993772,0.917259203066551,-0.0412477404513288,0.0589321687213687,0.0735790155526007
"RS_09",0.62446417047425,-0.0700213154387787,0.346215740886388,0.120537903758844,0.0876001290512995
"RS_10",0.616478216645089,-0.0594541790337803,0.361742337477183,0.125809494993244,0.0878775518126479
"RS_11",0.628457147388831,-0.0753048836412782,0.33845244259099,0.117902108141644,0.0874614176706253
"RS_12",-2.6677189192269,0.680699819047425,-0.142748454480033,0.0941363354244875,-0.101127558614627
"RS_13",-2.6677189192269,0.680699819047425,-0.142748454480033,0.0941363354244875,-0.101127558614627
"RS_14",0.68977665555962,0.749344730113429,1.44899698661542,0.351976175297304,-0.051351815022418
"RS_15",1.13559960388636,0.129748230356352,0.550586617142975,0.0673938992069496,-0.0326330160352597
"RS_16",1.54255011953723,1.09497567286511,0.17411252655623,-0.0253758127287271,0.151835690573012
"RS_17",1.2724774526669,-1.64337085680763,-0.214667746653301,-0.109981718369825,-0.0878329961538574
"RS_18",1.23995363810214,0.0349820287350413,0.394967257688197,-0.00879051155927751,-0.0808682956175127
"RS_19",0.92749630515828,-0.361390384573038,-0.114811835248319,-0.045182455716899,0.00503876318669566
"RS_20",0.56404311015162,0.596827967632454,-0.521129697620436,0.153518702136307,0.0403531134132132
"RS_21",1.09593263675574,-1.39612414533114,0.144222814181859,0.00896639710397412,-0.0921040054662416
"RS_22",1.54268189458454,-1.27247596188189,0.288739004022568,-0.0301726048762508,-0.0870534827178953
"RS_23",0.639966559121416,0.48532959781395,-0.683828570012596,0.0864258972026624,0.0345053955002124
"RS_24",1.39602992923946,2.3019504087541,0.112887803385805,0.000916620777651311,0.14065320005514
"RS_25",-1.18706077999993,-3.58759269799558,-1.03736995114633,0.127001856652627,-0.142274857272265
"RS_26",0.843825326593757,1.84829282281365,-0.53433739615762,0.046144742488259,0.0468726363190181
"RS_27",0.627300938073457,1.33528096441093,-1.20679928558011,0.0226311979060338,0.179152207694907
"RS_28",0.628457147388831,-0.0753048836412782,0.33845244259099,0.117902108141644,0.0874614176706253
"RS_29",1.09070908468634,1.10993179917196,0.188311337091931,0.0253184201081134,0.0346943115195953
"RS_30",0.663388076993772,0.917259203066551,-0.0412477404513288,0.0589321687213687,0.0735790155526007
"RS_31",0.667381053908353,0.911975634864051,-0.0490110387467267,0.0562963731041688,0.0734403041719265
"RS_32",0.632450124303411,-0.0805884518437774,0.330689144295592,0.115266312524445,0.087322706289951
"RS_33",0.628457147388831,-0.0753048836412782,0.33845244259099,0.117902108141644,0.0874614176706253
"RS_34",1.4836531184538,0.532012629520563,-0.642158349019404,-0.24430736291614,0.0652607696675724
"RS_35",0.472457215298694,-1.49056035309996,0.110997893970845,0.143566403656496,0.0766418419639192
"RS_36",1.4564282231591,-0.265100364766444,-0.0415562861009396,-0.154096583205075,-0.0779844001118709
"RS_37",0.406764502878613,0.268080755952475,-0.903370458728448,-0.284550121244175,0.109365348970227
"RS_38",0.981053713335929,0.449949751483916,-0.732018770490349,-0.278371968854566,0.00604074578893138
"RS_39",0.951728561640531,-2.19978615386678,0.808894920447485,0.282160557653196,-0.0043243422458763
"RS_40",-2.13625895347659,-0.303230597177709,0.217797217689496,0.1619527148724,-0.0270468416370679
"RS_41",1.53924383292687,0.266158579078125,0.728136435305334,0.0489620690367011,0.00774372390101397
"RS_42",1.55122276367061,0.250307874470627,0.704846540419141,0.0410546821851013,0.00732758975899117
"RS_43",1.1685766465861,1.8321944582171,-0.663608423312745,0.0762221398657295,-0.147276983040684
"RS_44",-2.86966150109936,0.794675638335196,0.0403952728012177,-0.00827886541810074,-0.138689943727196
"RS_45",-2.49478191968482,-0.322520563113194,-1.38645485849048,-0.275832023272303,0.391437292521131
"RS_46",0.943942799083918,-1.44397335410565,0.156573276714468,0.0802679237514106,0.114645959820222
"RS_47",0.983872568229725,-1.49680903613065,0.0789402937604911,0.0539099675794116,0.113258846013479
"RS_48",-0.948646122972575,0.652767412828339,-0.330685175447571,-0.270135848466365,-0.188747364127244
"RS_49",0.472457215298694,-1.49056035309996,0.110997893970845,0.143566403656496,0.0766418419639192
"RS_50",0.255790123841838,0.786135112832257,-0.211035895921316,0.0800579187512553,0.0333555156055104
"RS_51",-0.16781898977157,0.676142605122981,-0.349769222606686,0.111668727007504,-0.00632766742739212
"RS_52",1.49058700444393,-1.92165902881172,-0.528011491061018,-0.706486577919826,0.0107025487308232
"RS_53",1.24748268574099,-0.969455571495578,0.764634028728711,0.164243415536349,0.00164033513723172
"RS_54",-2.84979275692237,0.779365681008737,0.0167766217068576,-0.00450327953969154,-0.136185827558887
"RS_55",0.190510712415263,0.763116853907234,-0.352261427382218,0.287191822921569,-0.204613571331998
"RS_56",-8.46554658958596,-1.88568116987195,0.454699224827793,0.153716694239316,0.304426826514546
